Crystal size: 12 * 15 ; real percentage: 30 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 35 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 27 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 32 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 29 ; total number of steps: 11
Crystal size: 12 * 15 ; real percentage: 26 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 27 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 27 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 27 ; total number of steps: 27
Crystal size: 12 * 15 ; real percentage: 32 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 26 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 30 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 27 ; total number of steps: 11
Crystal size: 12 * 15 ; real percentage: 31 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 28 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 27 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 26 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 26 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 41 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 30 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 28 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 37 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 29 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 34 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 30 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 32 ; total number of steps: 11
Crystal size: 12 * 15 ; real percentage: 30 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 26 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 26 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 31 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 24 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 32 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 24 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 32 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 31 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 28 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 28 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 32 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 37 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 37 ; total number of steps: 7
Crystal size: 12 * 15 ; real percentage: 39 ; total number of steps: 6
Crystal size: 12 * 15 ; real percentage: 38 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 36 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 43 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 36 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 35 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 42 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 41 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 40 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 40 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 39 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 39 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 40 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 38 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 46 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 34 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 33 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 33 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 38 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 40 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 42 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 45 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 36 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 43 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 32 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 41 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 39 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 46 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 34 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 38 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 38 ; total number of steps: 5
Crystal size: 12 * 15 ; real percentage: 41 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 40 ; total number of steps: 4
Crystal size: 12 * 15 ; real percentage: 43 ; total number of steps: 3
Crystal size: 12 * 15 ; real percentage: 62 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 56 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 56 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 56 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 52 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 50 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 54 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 47 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 55 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 55 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 52 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 50 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 52 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 55 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 55 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 58 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 50 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 56 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 56 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 52 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 53 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 53 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 54 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 54 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 58 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 57 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 60 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 53 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 53 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 57 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 60 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 53 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 53 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 52 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 48 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 48 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 48 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 48 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 48 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 56 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 56 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 55 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 72 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 68 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 66 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 79 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 71 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 79 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 71 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 69 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 76 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 77 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 77 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 72 ; total number of steps: 2
Crystal size: 12 * 15 ; real percentage: 78 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 82 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 70 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 67 ; total number of steps: 1
Crystal size: 12 * 15 ; real percentage: 75 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 78 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 73 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 78 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 80 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 67 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 80 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 76 ; total number of steps: 0
Crystal size: 12 * 15 ; real percentage: 77 ; total number of steps: 0
